student_id,archetype,t,true_state,state_name,concept_coverage,semantic_correctness,misconception_score,explanation_depth,response_effort,attention,confidence,difficulty
6,strong,4,3,Understanding,0.5399,0.6206,0.164,0.7129,0.7332,0.5663,0.3497,0.4571
7,strong,0,4,Confident,0.8138,0.8638,0.126,0.8275,0.8136,0.7084,0.8267,0.2756
7,strong,1,4,Confident,0.8406,0.9021,0.0234,0.7859,0.8495,0.5409,0.6815,0.0573
7,strong,2,4,Confident,0.8122,0.9249,0.0215,0.8237,0.8807,0.9726,0.841,0.426
7,strong,3,4,Confident,0.7963,0.7906,0.0,0.6934,0.707,0.9045,1.0,0.0703
7,strong,4,3,Understanding,0.5959,0.7475,0.1069,0.4303,0.8114,0.6713,0.5806,0.3109
8,inconsistent,0,3,Understanding,0.7329,0.7362,0.2521,0.6089,0.5228,0.8887,0.6069,0.5949
8,inconsistent,1,1,Unclear,0.2369,0.3849,0.5451,0.5492,0.3583,0.5208,0.4899,0.5901
8,inconsistent,2,2,Struggling but Trying,0.4474,0.5314,0.2167,0.3593,0.5012,0.6547,0.3404,0.7119
8,inconsistent,3,2,Struggling but Trying,0.5606,0.4038,0.3348,0.5012,0.7159,0.8241,0.4805,0.7059
8,inconsistent,4,2,Struggling but Trying,0.3358,0.5006,0.5598,0.5768,0.922,0.8119,0.4755,0.7426
9,inconsistent,0,3,Understanding,0.7666,0.8085,0.1567,0.6157,0.7545,0.7099,0.7716,0.2119
9,inconsistent,1,0,Not Trying,0.0,0.0005,0.2364,0.1574,0.0,0.0047,0.0,0.4293
9,inconsistent,2,3,Understanding,0.7435,0.644,0.1665,0.4627,0.6643,0.7629,0.6388,0.5528
9,inconsistent,3,3,Understanding,0.7668,0.6312,0.2098,0.8455,0.5836,0.6346,0.8237,0.4251
9,inconsistent,4,2,Struggling but Trying,0.4057,0.6455,0.3131,0.581,0.9378,0.753,0.2777,0.6917
9,inconsistent,5,1,Unclear,0.0934,0.4137,0.2961,0.4377,0.0627,0.3977,0.1308,0.5926
10,inconsistent,0,3,Understanding,0.6841,0.7203,0.0191,0.7348,0.7795,0.8001,0.7223,0.4885
10,inconsistent,1,4,Confident,0.8713,0.8193,0.0,0.6761,0.6007,0.6845,0.8408,0.2935
10,inconsistent,2,3,Understanding,0.6234,0.79,0.1939,0.6308,0.6217,0.8213,0.6744,0.2617
10,inconsistent,3,0,Not Trying,0.0762,0.06,0.119,0.0,0.2203,0.3622,0.2672,0.5472
10,inconsistent,4,2,Struggling but Trying,0.3344,0.4706,0.1928,0.6357,0.9897,0.647,0.2911,0.7806
10,inconsistent,5,4,Confident,0.7578,0.8749,0.2321,0.6018,0.5963,0.7449,0.7823,0.3556
11,strong,0,4,Confident,1.0,0.7872,0.0,0.8649,0.8416,0.8583,0.6309,0.3199
11,strong,1,3,Understanding,0.7235,0.5576,0.1646,0.5532,0.5461,0.8428,0.6814,0.3702
11,strong,2,4,Confident,0.8359,0.8532,0.0769,0.7256,0.8065,0.7307,0.7965,0.4271
11,strong,3,4,Confident,0.6387,1.0,0.3049,0.7514,0.5176,0.7596,0.8128,0.2253
11,strong,4,4,Confident,0.938,0.9025,0.0,0.8839,0.9963,0.8224,0.8061,0.2315
11,strong,5,4,Confident,0.7069,0.8664,0.011,1.0,0.7291,1.0,0.7065,0.3263
12,disengaged,0,1,Unclear,0.3713,0.3176,0.1808,0.2979,0.2417,0.4555,0.3394,0.4783
12,disengaged,1,1,Unclear,0.2982,0.2977,0.0935,0.3942,0.3827,0.4072,0.1788,0.8087
12,disengaged,2,0,Not Trying,0.2883,0.192,0.1388,0.03,0.158,0.2813,0.4627,0.4322
12,disengaged,3,1,Unclear,0.1999,0.3065,0.3021,0.3949,0.5298,0.4404,0.2948,0.7408
12,disengaged,4,1,Unclear,0.3452,0.1248,0.2673,0.2061,0.0716,0.3747,0.231,0.6739
12,disengaged,5,1,Unclear,0.2255,0.2469,0.3443,0.4259,0.2329,0.3816,0.4226,0.6712
12,disengaged,6,1,Unclear,0.2486,0.4202,0.2465,0.2985,0.3247,0.3419,0.1467,0.7891
13,strong,0,3,Understanding,0.4719,0.5503,0.0277,0.8253,0.7339,0.8498,0.5018,0.3045
13,strong,1,4,Confident,0.8858,0.9049,0.0312,0.8334,0.769,0.9011,0.9549,0.0394
13,strong,2,4,Confident,0.9802,0.9688,0.0,0.5768,0.7619,0.921,1.0,0.3171
13,strong,3,4,Confident,0.7907,0.8511,0.0201,0.6782,0.9959,1.0,0.9977,0.1303
13,strong,4,4,Confident,0.944,0.8943,0.175,0.8762,0.8388,0.8828,0.8943,0.0181
13,strong,5,2,Struggling but Trying,0.3944,0.372,0.4682,0.7575,0.9131,0.8332,0.5756,0.7516
13,strong,6,2,Struggling but Trying,0.3407,0.5397,0.306,0.3937,0.7439,0.7896,0.6337,0.8662
13,strong,7,2,Struggling but Trying,0.4749,0.5044,0.2797,0.4201,0.7319,0.703,0.2375,0.8165
14,strong,0,1,Unclear,0.3496,0.4559,0.4526,0.3047,0.2486,0.3591,0.3948,0.7493
14,strong,1,3,Understanding,0.81,0.6868,0.0,0.6117,0.7261,0.7237,0.5749,0.4829
14,strong,2,3,Understanding,0.6372,0.7311,0.0798,0.6793,0.7328,0.6019,0.5874,0.6369
14,strong,3,4,Confident,0.9118,0.7338,0.0,0.5766,0.7535,0.804,0.8347,0.4078
14,strong,4,4,Confident,0.9196,1.0,0.0,0.7544,0.6597,0.6837,0.8076,0.4356
14,strong,5,4,Confident,0.8464,1.0,0.0536,1.0,0.7388,0.817,0.8975,0.6633
15,hardworking_struggler,0,2,Struggling but Trying,0.401,0.5909,0.3031,0.5834,0.7517,0.8438,0.4552,0.4982
15,hardworking_struggler,1,3,Understanding,0.6018,0.5558,0.1142,0.6601,0.6168,0.858,0.4755,0.3971
15,hardworking_struggler,2,3,Understanding,0.6953,0.7279,0.0192,0.7369,0.7076,0.504,0.3954,0.4484
15,hardworking_struggler,3,2,Struggling but Trying,0.4397,0.4972,0.3226,0.6637,0.6167,0.6476,0.2579,0.7876
15,hardworking_struggler,4,2,Struggling but Trying,0.4069,0.2498,0.1296,0.45,0.6831,0.7469,0.405,0.7095
16,disengaged,0,1,Unclear,0.2979,0.1964,0.389,0.3123,0.3323,0.7065,0.2691,0.9678
16,disengaged,1,2,Struggling but Trying,0.3223,0.507,0.1924,0.4598,0.7976,0.8722,0.3191,0.8784
16,disengaged,2,3,Understanding,0.8436,0.7529,0.2563,0.4243,0.6619,0.6373,0.6655,0.3757
16,disengaged,3,3,Understanding,0.8882,0.683,0.1614,0.6221,0.7091,0.7508,0.7083,0.6015
16,disengaged,4,4,Confident,0.911,0.909,0.0,0.7895,0.8628,0.9126,0.8775,0.3652
16,disengaged,5,4,Confident,1.0,0.8789,0.0144,0.8403,0.3983,0.8498,0.3757,0.0259
16,disengaged,6,2,Struggling but Trying,0.4978,0.3838,0.2288,0.7145,0.6919,1.0,0.3998,0.803
16,disengaged,7,1,Unclear,0.2631,0.2498,0.339,0.2957,0.1862,0.4667,0.2535,0.8202
17,fast_learner,0,1,Unclear,0.3117,0.25,0.2458,0.4326,0.3005,0.3158,0.4077,0.7602
17,fast_learner,1,2,Struggling but Trying,0.4729,0.5736,0.3374,0.6258,0.5815,0.843,0.3607,0.6872
17,fast_learner,2,2,Struggling but Trying,0.5979,0.6794,0.4315,0.5368,0.7923,0.8997,0.4158,0.767
17,fast_learner,3,3,Understanding,0.6941,0.6271,0.0786,0.7261,0.7004,0.7942,0.7371,0.4013
17,fast_learner,4,4,Confident,0.9179,0.7265,0.1942,0.7399,0.5514,0.6641,0.7173,0.2568
17,fast_learner,5,4,Confident,0.8463,0.912,0.084,0.8379,0.7992,0.8801,0.576,0.2026
17,fast_learner,6,4,Confident,0.8836,0.8495,0.1546,0.9425,0.7743,0.735,0.9131,0.1814
17,fast_learner,7,4,Confident,0.9786,0.7942,0.1306,0.8813,0.6354,0.9266,0.9408,0.2633
17,fast_learner,8,4,Confident,0.7941,0.7962,0.1043,0.6853,0.8025,0.6386,0.8235,0.2643
18,disengaged,0,0,Not Trying,0.065,0.1911,0.1118,0.1034,0.0416,0.389,0.2407,0.6472
18,disengaged,1,0,Not Trying,0.044,0.0428,0.1455,0.2234,0.0507,0.1744,0.1551,0.4702
18,disengaged,2,3,Understanding,0.6087,0.7227,0.2519,0.9871,0.6296,0.9366,0.6817,0.4303
18,disengaged,3,3,Understanding,0.7062,0.711,0.0792,0.4822,0.5148,0.8349,0.614,0.3725
18,disengaged,4,3,Understanding,0.7795,0.718,0.0544,0.7972,0.8895,0.8143,0.7766,0.6115
18,disengaged,5,2,Struggling but Trying,0.5114,0.5598,0.352,0.4183,0.8341,0.6237,0.2967,0.9195
18,disengaged,6,1,Unclear,0.3987,0.3228,0.2348,0.2711,0.3622,0.5103,0.4974,0.653
18,disengaged,7,1,Unclear,0.1511,0.395,0.3503,0.21,0.3217,0.4761,0.3149,0.9303
19,fast_learner,0,3,Understanding,0.6737,0.6314,0.2582,0.6302,0.8546,0.758,0.6548,0.4385
19,fast_learner,1,4,Confident,1.0,0.618,0.0,0.7348,0.7517,0.8897,0.9115,0.2
19,fast_learner,2,3,Understanding,0.803,0.7184,0.2163,0.6827,0.6326,0.8407,0.6644,0.4502
19,fast_learner,3,4,Confident,0.6349,0.7082,0.0,0.7564,0.7194,0.604,0.7219,0.1381
19,fast_learner,4,4,Confident,1.0,0.8088,0.0136,0.6621,0.521,0.7848,0.7203,0.239
20,disengaged,0,0,Not Trying,0.0866,0.1917,0.0,0.1526,0.0,0.2823,0.2986,0.3211
20,disengaged,1,1,Unclear,0.2865,0.4113,0.3359,0.4838,0.4709,0.4666,0.4475,0.9514
20,disengaged,2,1,Unclear,0.1272,0.2573,0.4985,0.173,0.1913,0.4368,0.4046,0.6867
20,disengaged,3,2,Struggling but Trying,0.3826,0.4288,0.212,0.8238,0.7857,0.9153,0.3364,0.7258
20,disengaged,4,3,Understanding,0.4348,0.5622,0.0,0.38,0.5566,0.9222,0.6442,0.6178
20,disengaged,5,3,Understanding,0.7783,0.6099,0.1724,0.7374,0.6308,0.8227,0.7236,0.3786
20,disengaged,6,4,Confident,0.7616,0.8587,0.0827,0.7049,0.7532,0.8742,0.9304,0.4517
20,disengaged,7,4,Confident,0.7799,1.0,0.0,0.9254,0.7582,0.7464,0.615,0.2277
20,disengaged,8,3,Understanding,0.7967,0.8517,0.0403,0.6862,0.613,0.6683,0.7507,0.445
20,disengaged,9,0,Not Trying,0.0018,0.2499,0.1097,0.1455,0.0063,0.1936,0.285,0.3913
21,disengaged,0,0,Not Trying,0.1949,0.1125,0.1373,0.0,0.0628,0.122,0.5106,0.5473
21,disengaged,1,0,Not Trying,0.1694,0.0,0.0,0.1455,0.0673,0.2326,0.1276,0.497
21,disengaged,2,0,Not Trying,0.1324,0.167,0.0561,0.0027,0.0,0.2335,0.4099,0.2952
21,disengaged,3,1,Unclear,0.1343,0.2535,0.3553,0.0499,0.4237,0.598,0.3174,0.3775
21,disengaged,4,1,Unclear,0.3733,0.0722,0.3152,0.1584,0.4465,0.4122,0.4025,0.7735
22,fast_learner,0,1,Unclear,0.1015,0.469,0.2739,0.2327,0.3473,0.2968,0.3797,0.8258
22,fast_learner,1,2,Struggling but Trying,0.2911,0.4876,0.3742,0.3246,0.621,0.914,0.4351,0.8036
22,fast_learner,2,4,Confident,0.9269,0.9158,0.3211,0.7743,0.6543,0.8556,0.9071,0.1815
22,fast_learner,3,4,Confident,1.0,0.8827,0.0,0.9099,0.7369,0.7671,0.9231,0.0821
22,fast_learner,4,3,Understanding,0.7722,0.8913,0.1666,0.6049,0.6391,0.6967,0.617,0.4009
22,fast_learner,5,2,Struggling but Trying,0.2767,0.5862,0.262,0.5952,0.6148,0.9727,0.5619,0.8747
22,fast_learner,6,3,Understanding,0.7829,0.7405,0.0,0.6471,0.7437,0.8223,0.673,0.4879
22,fast_learner,7,4,Confident,1.0,0.5633,0.0183,0.7802,0.5397,0.8122,1.0,0.1087
22,fast_learner,8,4,Confident,0.7884,0.7828,0.1977,0.7349,0.8055,0.5567,1.0,0.3283
23,strong,0,3,Understanding,0.6676,0.6796,0.0708,0.5803,0.7834,0.7833,0.7347,0.4489
23,strong,1,3,Understanding,0.6581,0.923,0.0,0.8013,0.8641,0.6392,0.9398,0.5794
23,strong,2,4,Confident,0.8828,0.8283,0.0291,0.8469,0.9181,0.8236,0.7315,0.3572
23,strong,3,4,Confident,0.9455,0.9245,0.0229,0.6885,0.6458,0.5874,0.8808,0.2392
23,strong,4,4,Confident,0.5844,0.7253,0.1621,0.7202,0.7933,0.6192,1.0,0.2313
23,strong,5,3,Understanding,0.9326,0.8516,0.0893,0.5788,0.6609,0.8163,0.6363,0.3986
23,strong,6,3,Understanding,0.6886,0.93,0.1291,0.8642,0.7429,0.8752,0.5558,0.339
23,strong,7,3,Understanding,0.7989,0.704,0.0,0.4868,0.5287,0.5202,0.6642,0.5963
23,strong,8,4,Confident,0.654,0.8309,0.0337,1.0,0.5751,0.7492,1.0,0.3085
23,strong,9,4,Confident,0.8915,0.883,0.1278,0.7029,0.8554,0.6215,0.8927,0.2732
24,fast_learner,0,1,Unclear,0.1428,0.3146,0.2396,0.3387,0.212,0.5926,0.1964,0.6264
24,fast_learner,1,1,Unclear,0.3825,0.383,0.3288,0.3598,0.0971,0.4944,0.6097,0.7172
24,fast_learner,2,1,Unclear,0.3048,0.4396,0.1503,0.0981,0.3752,0.4071,0.5206,0.659
24,fast_learner,3,3,Understanding,0.5732,0.425,0.0966,0.6274,0.6491,0.8903,0.8058,0.4278
24,fast_learner,4,3,Understanding,0.7617,0.7555,0.1509,0.7678,0.5602,1.0,0.5253,0.5474
24,fast_learner,5,4,Confident,0.787,1.0,0.0239,0.9008,0.7784,0.7864,1.0,0.2192
24,fast_learner,6,4,Confident,0.7997,0.9051,0.0896,0.612,0.6631,0.7244,0.8025,0.0711
24,fast_learner,7,4,Confident,0.8071,0.9272,0.1309,0.7825,0.703,0.8182,0.7438,0.1009
24,fast_learner,8,4,Confident,0.8165,0.7337,0.0662,0.8876,0.5595,0.8033,0.8214,0.2944
24,fast_learner,9,4,Confident,0.7346,0.7238,0.0529,0.9235,0.4843,0.8449,1.0,0.2301
25,fast_learner,0,2,Struggling but Trying,0.2156,0.5943,0.2015,0.4953,0.5836,0.6167,0.3774,0.6552
25,fast_learner,1,4,Confident,0.9253,0.8821,0.0739,0.9893,0.6219,0.7929,0.9972,0.4144
25,fast_learner,2,4,Confident,0.8488,0.9858,0.1008,0.8234,0.7239,0.7501,0.8875,0.2172
25,fast_learner,3,4,Confident,0.8879,0.7822,0.1032,1.0,0.5368,0.8421,0.7512,0.3251
25,fast_learner,4,4,Confident,0.9562,0.9676,0.0692,0.9358,0.4687,1.0,0.8988,0.3901
26,inconsistent,0,3,Understanding,0.6983,0.7283,0.2285,0.4382,0.8169,0.7511,0.6235,0.2588
26,inconsistent,1,3,Understanding,0.4586,0.7648,0.0,0.6564,0.6857,0.902,0.6268,0.3598
26,inconsistent,2,4,Confident,1.0,0.9036,0.0114,0.7716,0.5619,0.8505,0.6212,0.3477
26,inconsistent,3,4,Confident,1.0,0.74,0.0397,1.0,0.893,0.7095,0.8791,0.2503
26,inconsistent,4,2,Struggling but Trying,0.3801,0.4911,0.1402,0.5662,0.804,0.7704,0.19,0.8785
26,inconsistent,5,3,Understanding,0.6274,0.6719,0.0,0.527,0.6355,0.9097,0.5669,0.5332
26,inconsistent,6,4,Confident,0.9048,0.8359,0.1373,0.7358,0.5613,0.6203,0.7809,0.0876
27,inconsistent,0,1,Unclear,0.2704,0.2372,0.3007,0.317,0.071,0.5308,0.5974,0.6411
27,inconsistent,1,2,Struggling but Trying,0.5525,0.4836,0.2419,0.2769,0.8269,0.7853,0.2684,0.7665
27,inconsistent,2,3,Understanding,0.6472,0.7606,0.0,0.7757,0.5323,0.6638,0.9,0.5966
27,inconsistent,3,1,Unclear,0.1559,0.2971,0.3573,0.3045,0.3391,0.496,0.3221,0.5125
27,inconsistent,4,2,Struggling but Trying,0.5415,0.3632,0.281,0.4516,0.7634,0.7495,0.5921,0.8159
27,inconsistent,5,2,Struggling but Trying,0.5171,0.4225,0.2423,0.5877,0.691,0.9161,0.2993,0.6695
27,inconsistent,6,1,Unclear,0.1934,0.4599,0.4129,0.5052,0.6221,0.366,0.3592,0.5471
27,inconsistent,7,2,Struggling but Trying,0.387,0.3943,0.1948,0.5327,0.604,0.9095,0.2807,1.0
27,inconsistent,8,1,Unclear,0.2189,0.3049,0.3572,0.1446,0.5547,0.6455,0.3886,0.5249
28,inconsistent,0,3,Understanding,0.7809,0.7095,0.0,0.532,0.7825,0.9077,0.7942,0.243
28,inconsistent,1,1,Unclear,0.3516,0.1842,0.3492,0.3329,0.3139,0.2592,0.3077,0.6575
28,inconsistent,2,1,Unclear,0.1937,0.3057,0.346,0.3531,0.3135,0.4467,0.362,0.4503
28,inconsistent,3,3,Understanding,0.6999,0.704,0.2161,0.4157,0.4631,0.7856,0.6491,0.4721
28,inconsistent,4,3,Understanding,0.7664,0.7933,0.1684,0.6187,0.4471,0.85,0.8088,0.5338
28,inconsistent,5,3,Understanding,0.7674,0.7861,0.2759,0.5449,0.6728,0.8471,0.6575,0.3047
29,disengaged,0,1,Unclear,0.2241,0.4978,0.2599,0.2295,0.3513,0.6143,0.1553,0.5297
29,disengaged,1,0,Not Trying,0.0533,0.0382,0.0615,0.1294,0.0,0.2301,0.2611,0.5874
29,disengaged,2,0,Not Trying,0.0,0.1331,0.2044,0.0972,0.0,0.2852,0.159,0.6836
29,disengaged,3,1,Unclear,0.279,0.3657,0.3291,0.3814,0.3055,0.5306,0.4634,0.627
29,disengaged,4,1,Unclear,0.1306,0.2436,0.1672,0.3876,0.5671,0.6853,0.1386,0.7942
29,disengaged,5,1,Unclear,0.2043,0.3601,0.1492,0.332,0.2224,0.526,0.147,0.7706
30,disengaged,0,1,Unclear,0.0344,0.3234,0.2918,0.1139,0.4044,0.4415,0.2102,0.6279
30,disengaged,1,0,Not Trying,0.1103,0.137,0.1619,0.0,0.0639,0.2192,0.2389,0.5566
30,disengaged,2,2,Struggling but Trying,0.501,0.5552,0.0083,0.6928,0.3843,0.7199,0.5333,0.7088
30,disengaged,3,2,Struggling but Trying,0.3406,0.6027,0.1078,0.6855,0.7434,0.645,0.3242,0.6178
30,disengaged,4,1,Unclear,0.3232,0.1781,0.3096,0.1964,0.5052,0.3245,0.5585,0.6957
30,disengaged,5,2,Struggling but Trying,0.3823,0.4198,0.1725,0.5614,0.6027,0.5166,0.3506,0.5156
30,disengaged,6,2,Struggling but Trying,0.3591,0.4129,0.5001,0.5568,0.7794,0.5691,0.315,0.778
30,disengaged,7,2,Struggling but Trying,0.5408,0.3797,0.2714,0.4797,0.7697,0.7167,0.3648,0.7193
31,fast_learner,0,1,Unclear,0.207,0.4297,0.3264,0.2632,0.3626,0.7206,0.1758,0.8001
31,fast_learner,1,1,Unclear,0.2717,0.5075,0.3989,0.3205,0.2827,0.504,0.3172,0.5978
31,fast_learner,2,1,Unclear,0.2698,0.2733,0.2694,0.1368,0.3969,0.5709,0.3801,0.8255
31,fast_learner,3,3,Understanding,0.7392,0.7304,0.1108,0.5863,0.9657,0.6912,0.5634,0.5064
31,fast_learner,4,3,Understanding,0.5595,0.8123,0.1106,0.5167,0.8427,0.8313,0.4856,0.681
31,fast_learner,5,3,Understanding,0.699,0.859,0.1359,0.6466,0.6208,0.8256,0.712,0.4519
31,fast_learner,6,4,Confident,0.893,0.843,0.0,0.6234,0.8178,0.4618,0.8767,0.1878
31,fast_learner,7,4,Confident,0.8307,0.9159,0.0103,0.8136,0.8384,0.7399,0.9796,0.1208
32,hardworking_struggler,0,1,Unclear,0.4416,0.2737,0.2121,0.1807,0.4293,0.5647,0.3633,0.554
32,hardworking_struggler,1,1,Unclear,0.1275,0.4659,0.6357,0.344,0.42,0.4359,0.1147,0.6216
32,hardworking_struggler,2,2,Struggling but Trying,0.3053,0.6722,0.3273,0.5956,0.7129,0.7775,0.5254,0.7458
32,hardworking_struggler,3,3,Understanding,0.6804,0.6658,0.0,0.4127,0.6686,0.7573,0.4828,0.4455
32,hardworking_struggler,4,3,Understanding,0.4844,0.6085,0.1607,0.6964,0.5616,0.7706,0.7829,0.551
32,hardworking_struggler,5,3,Understanding,0.6532,0.6371,0.1668,0.6734,0.7755,0.7671,0.7564,0.4623
33,hardworking_struggler,0,1,Unclear,0.4043,0.3757,0.1786,0.2143,0.4426,0.4636,0.2834,0.8821
33,hardworking_struggler,1,2,Struggling but Trying,0.3702,0.5211,0.339,0.6096,0.8593,0.8258,0.4636,0.7163
33,hardworking_struggler,2,3,Understanding,0.7108,0.7215,0.1973,0.7166,0.7053,0.6448,0.6588,0.4464
33,hardworking_struggler,3,2,Struggling but Trying,0.6707,0.4476,0.3422,0.6782,0.7618,1.0,0.3509,0.7921
33,hardworking_struggler,4,3,Understanding,0.6648,0.7249,0.2046,0.6883,0.8511,0.7377,0.6068,0.8015
34,inconsistent,0,1,Unclear,0.1557,0.4437,0.3136,0.3153,0.3424,0.5951,0.2399,0.5602
34,inconsistent,1,3,Understanding,0.7601,0.7333,0.0391,0.7313,0.6107,0.6822,0.5273,0.6192
34,inconsistent,2,2,Struggling but Trying,0.5105,0.6247,0.5813,0.3449,0.6614,0.7199,0.2894,0.6099
34,inconsistent,3,2,Struggling but Trying,0.3283,0.5335,0.3052,0.6077,0.8109,0.8784,0.3515,1.0
34,inconsistent,4,3,Understanding,0.5138,0.5998,0.0,0.6521,0.6854,0.6891,0.9114,0.5214
34,inconsistent,5,1,Unclear,0.1569,0.2501,0.3537,0.3208,0.1272,0.4766,0.3518,0.672
34,inconsistent,6,1,Unclear,0.196,0.3323,0.3591,0.3726,0.4797,0.4617,0.2907,0.7569
34,inconsistent,7,1,Unclear,0.2066,0.429,0.448,0.455,0.5634,0.3874,0.3518,0.7015
34,inconsistent,8,2,Struggling but Trying,0.3851,0.3514,0.3093,0.4578,0.7603,0.6968,0.257,0.7805
34,inconsistent,9,2,Struggling but Trying,0.5079,0.7186,0.3277,0.6082,0.6207,0.6327,0.6058,0.6299
35,strong,0,3,Understanding,0.6695,0.8229,0.0394,0.4828,0.8131,0.814,0.5693,0.2443
35,strong,1,2,Struggling but Trying,0.4445,0.6166,0.1963,0.5399,0.831,0.4904,0.5344,0.5963
35,strong,2,3,Understanding,0.7247,0.8085,0.1751,0.3647,0.6058,0.768,0.6247,0.5121
35,strong,3,3,Understanding,0.7608,0.6786,0.0,0.5953,0.75,0.6082,0.7321,0.5681
35,strong,4,3,Understanding,0.3936,0.5722,0.3086,0.5844,0.4619,0.9106,0.6517,0.5936
35,strong,5,3,Understanding,0.7459,0.7363,0.1897,0.9233,0.8165,0.5446,0.7081,0.5984
35,strong,6,4,Confident,0.8373,0.9665,0.1428,1.0,0.66,0.734,0.8102,0.1863
